"","main_image","screen_type","display_name","cpu_cores","sim","wireless_charging","removable_battery","card_slot","double_back_cam","fast_charge","flash","connectivity_bluetooth","connectivity_lightning","connectivity_minijack","connectivity_nfc","connectivity_usb","connectivity_usb_type_c","connectivity_wifi","control_natural_keyboard","control_touchscreen","protection_dust_resistant","protection_rugged","protection_water_resistant","sensor_accelerometer","sensor_altimeter","sensor_barometer","sensor_compass","sensor_fingerprint","sensor_gyroscope","sensor_hall","sensor_heartbeat_meter","sensor_iris_scanner","sensor_light","sensor_oximeter","sensor_proximity","sensor_tango","battery_capacity","cam_megapixels","cpu_power","diagonal_size","price_max","price_min","ram","release_year","reviews_count","reviewscore","selfie_cam_megapixels","shop_count","speaking_autonomy","stanby_autonomy","storage","weight","connection_network_0","connection_network_1","mobile_type_0","mobile_type_1","manufacturer_id_0","manufacturer_id_1","manufacturer_id_2","manufacturer_id_3","manufacturer_id_4","manufacturer_id_5","manufacturer_id_6","manufacturer_id_7","manufacturer_id_8","manufacturer_id_9","manufacturer_id_10","manufacturer_id_11","manufacturer_id_12","manufacturer_id_13","manufacturer_id_14","manufacturer_id_15","manufacturer_id_16","manufacturer_id_17","manufacturer_id_18","manufacturer_id_19","manufacturer_id_20","manufacturer_id_21","manufacturer_id_22","manufacturer_id_23","manufacturer_id_24","manufacturer_id_25","manufacturer_id_26","manufacturer_id_27","manufacturer_id_28","manufacturer_id_29","manufacturer_id_30","manufacturer_id_31","manufacturer_id_32","manufacturer_id_33","manufacturer_id_34","manufacturer_id_35","manufacturer_id_36","manufacturer_id_37","manufacturer_id_38","manufacturer_id_39","manufacturer_id_40","manufacturer_id_41","manufacturer_id_42","manufacturer_id_43","manufacturer_id_44","manufacturer_id_45","manufacturer_id_46","manufacturer_id_47","manufacturer_id_48","manufacturer_id_49","manufacturer_id_50","manufacturer_id_51","manufacturer_id_52","manufacturer_id_53","manufacturer_id_54","manufacturer_id_55","manufacturer_id_56","manufacturer_id_57","manufacturer_id_58","manufacturer_id_59","manufacturer_id_60","manufacturer_id_61","manufacturer_id_62","manufacturer_id_63","manufacturer_id_64","manufacturer_id_65","manufacturer_id_66","manufacturer_id_67","manufacturer_id_68","manufacturer_id_69","manufacturer_id_70","operating_system_0","operating_system_1","operating_system_2","operating_system_3","height","width","depth","vertical_resolution","horizontal_resolution","count_empty_fields","height_depth_area_norm","height_width_area_norm","volume_norm","width_depth_area_norm","screen_res_norm"
"3136502","https://c.scdn.gr/images/sku_main_images/003136/3136502/medium_cat_b25.jpg","TFT","Caterpillar B25 Dual","1.0","2","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1300","2.0","0.87","2.0","99.9","48.5","0.65","2013.0","36.0","3.38889","1.6","40.0","9.5","156.0","5.0","161.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","125.0","55.0","22.0","320.0","240.0","4","52.4404424085","82.9156197589","53.2801118383","34.7850542619","277.128129211"
"3656048","https://b.scdn.gr/images/sku_main_images/003656/3656048/medium_20151022174256_nokia_105.jpeg","TFT, 65K colors","Nokia 105","1.0","1","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","0.0","-0.0","0.0","-0.0","800","1.3","0.74","1.45","31.0","22.89","0.58","2013.0","6.0","3.16667","0.7","5.0","12.3","840.0","0.0","70.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","107.0","44.8","14.3","128.0","128.0","21","39.1164926853","69.2358288749","40.9259977824","25.3108672313","128.0"
"3783653","https://d.scdn.gr/images/sku_main_images/003783/3783653/medium_20161010133545_apple_iphone_5c_16gb.jpeg","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","Apple iPhone 5C (16GB)","2.0","1","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1510","8.0","1.3","4.0","250.0","250.0","1.0","2013.0","39.0","4.25641","1.2","1.0","10.0","250.0","16.0","132.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","124.4","59.2","9.0","1136.0","640.0","1","33.4604243846","85.8165485207","40.4695335572","23.082460874","852.666406046"
"3783654","https://d.scdn.gr/images/sku_main_images/003783/3783654/medium_20160802142646_apple_iphone_5s_16gb.jpeg","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","Apple iPhone 5S (16GB)","2.0","1","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1560","8.0","1.3","4.0","410.0","252.3","1.0","2013.0","428.0","4.3715","1.2","55.0","10.0","250.0","16.0","112.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","123.8","58.6","7.6","1136.0","640.0","0","30.6737672939","85.1744093023","38.0607449496","21.103554203","852.666406046"
"4763156","https://a.scdn.gr/images/sku_main_images/004763/4763156/medium_20161010133449_apple_iphone_5c_8gb.jpeg","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","Apple iPhone 5C (8GB)","2.0","1","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1510","8.0","1.3","4.0","344.0","269.0","1.0","2013.0","41.0","3.85366","1.2","7.0","10.0","250.0","8.0","132.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","124.4","59.2","9.0","1136.0","640.0","0","33.4604243846","85.8165485207","40.4695335572","23.082460874","852.666406046"
"5307730","https://a.scdn.gr/images/sku_main_images/005307/5307730/medium_20160804142111_apple_iphone_6_16gb.jpeg","Retina HD display, ED-backlit widescreen Multi‑Touch display with IPS technology","Apple iPhone 6 (16GB)","2.0","1","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1810","8.0","1.38","4.7","494.36","494.36","1.0","2014.0","202.0","4.43069","1.2","1.0","14.0","250.0","16.0","129.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","138.1","67.0","6.9","1334.0","750.0","2","30.8689164047","96.1909559158","39.9673963489","21.5011627593","1000.24996876"
"5308163","https://d.scdn.gr/images/sku_main_images/005308/5308163/medium_20160804142635_apple_iphone_6_plus_16gb.jpeg","Retina HD display, ED-backlit widescreen Multi‑Touch display with IPS technology","Apple iPhone 6 Plus (16GB)","2.0","1","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","2915","8.0","1.38","5.5","738.8","423.0","1.0","2014.0","73.0","4.27397","1.2","26.0","24.0","384.0","16.0","172.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","158.1","77.8","7.1","1920.0","1080.0","0","33.5038803723","110.906176564","44.3666466906","23.5027657947","1440.0"
"5450546","https://a.scdn.gr/images/sku_main_images/005450/5450546/medium_xiaomi-mi4-e.jpg","IPS LCD capacitive touchscreen, 16M colors","Xiaomi Mi 4 (16GB)","5.0","1","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","3080","13.0","2.5","5.0","135.0","135.0","3.0","2014.0","12.0","4.91667","8.0","1.0","25.3","280.0","16.0","149.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","139.2","68.5","8.9","1920.0","1080.0","2","35.1977271994","97.6483486804","43.9447101669","24.6910915109","1440.0"
"5535970","https://b.scdn.gr/images/sku_main_images/005535/5535970/medium_2218534.jpg","TFT, 65K colors","Nokia 130 Dual","1.0","2","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","0.0","-0.0","0.0","0.0","1020","0.7","0.76","1.8","35.96","23.9","0.57","2014.0","23.0","4.3913","0.6","14.0","13.0","624.0","0.0","67.9","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","106.0","45.5","13.9","160.0","128.0","21","38.3848928616","69.4478221401","40.6235014832","25.1485586068","143.10835056"
"5539871","https://c.scdn.gr/images/sku_main_images/005539/5539871/medium_20160804142228_apple_iphone_6_64gb.jpeg","Retina HD display, ED-backlit widescreen Multi‑Touch display with IPS technology","Apple iPhone 6 (64GB)","2.0","1","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1810","8.0","1.38","4.7","718.0","595.0","1.0","2014.0","51.0","4.68627","1.2","4.0","14.0","250.0","64.0","129.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","138.1","67.0","6.9","1334.0","750.0","0","30.8689164047","96.1909559158","39.9673963489","21.5011627593","1000.24996876"
"5539955","https://d.scdn.gr/images/sku_main_images/005539/5539955/medium_20160804142254_apple_iphone_6_128gb.jpeg","Retina HD display, ED-backlit widescreen Multi‑Touch display with IPS technology","Apple iPhone 6 (128GB)","2.0","1","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1810","8.0","1.38","4.7","979.0","880.0","1.0","2014.0","6.0","4.83333","1.2","2.0","14.0","250.0","128.0","129.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","138.1","67.0","6.9","1334.0","750.0","0","30.8689164047","96.1909559158","39.9673963489","21.5011627593","1000.24996876"
"5539991","https://c.scdn.gr/images/sku_main_images/005539/5539991/medium_20160804142622_apple_iphone_6_plus_128gb.jpeg","Retina HD display, ED-backlit widescreen Multi‑Touch display with IPS technology","Apple iPhone 6 Plus (128GB)","2.0","1","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","2915","8.0","1.38","5.5","910.0","910.0","1.0","2014.0","14.0","3.78571","1.2","2.0","24.0","384.0","128.0","172.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","158.1","77.8","7.1","1920.0","1080.0","0","33.5038803723","110.906176564","44.3666466906","23.5027657947","1440.0"
"5558359","https://d.scdn.gr/images/sku_main_images/005558/5558359/medium_20160804142628_apple_iphone_6_plus_64gb.jpeg","Retina HD display, ED-backlit widescreen Multi‑Touch display with IPS technology","Apple iPhone 6 Plus (64GB)","2.0","1","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","2915","8.0","1.38","5.5","887.8","479.5","1.0","2014.0","27.0","4.96296","1.2","22.0","24.0","384.0","64.0","172.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","158.1","77.8","7.1","1920.0","1080.0","0","33.5038803723","110.906176564","44.3666466906","23.5027657947","1440.0"
"5663559","https://b.scdn.gr/images/sku_main_images/005663/5663559/medium_91PoiedNhfL._SL1500_.jpg","IPS LCD capacitive touchscreen, 16M colors","Blackberry Passport","5.0","1","0.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","3450","13.0","2.2","4.5","553.04","238.0","3.0","2014.0","23.0","4.78261","2.0","5.0","14.0","348.0","32.0","196.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","128.0","90.3","9.3","1440.0","1440.0","0","34.5021738446","107.509999535","47.5474126772","28.9791304217","1440.0"
"5804541","https://a.scdn.gr/images/sku_main_images/005804/5804541/medium_20141128130414_0009451-22_L.jpg","TFT 262K Colors","Alcatel OneTouch 1035D","1.0","2","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0","-0.0","-0.0","-0.0","-0.0","0.0","0.0","0.0","0.0","-0.0","400","0.4","0.74","1.8","40.0","23.6","0.53","2014.0","9.0","4.11111","0.8","30.0","1.8","200.0","0.0","75.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","93.0","45.0","16.5","160.0","128.0","21","39.1726945716","64.6915759585","41.0260591821","27.2488531869","143.10835056"
"5898447","https://c.scdn.gr/images/sku_main_images/005898/5898447/medium_20141218110318_2218534.jpg","TFT, 65K colors","Nokia 130","1.0","1","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","0.0","-0.0","0.0","-0.0","1020","1.4","0.76","1.8","30.91","30.91","0.62","2014.0","6.0","5.0","0.7","1.0","13.0","864.0","0.0","68.6","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","106.0","45.5","13.9","160.0","128.0","21","38.3848928616","69.4478221401","40.6235014832","25.1485586068","143.10835056"
"5983545","https://d.scdn.gr/images/sku_main_images/005983/5983545/medium_20150115132838_G_Flex_2_1.jpg","Curved P-OLED capacitive touchscreen, 16M colors","LG G Flex 2 (16GB)","7.0","1","0.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","3000","13.0","2.0","5.5","323.9","193.2","2.0","2015.0","160.0","4.5375","2.1","26.0","20.0","520.0","16.0","152.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","149.1","75.3","7.1","1920.0","1080.0","0","32.5362874342","105.958624","43.0371650925","23.1220673816","1440.0"
"6044652","https://a.scdn.gr/images/sku_main_images/006044/6044652/medium_20150127103823_htc-desire-620-global-sketchfab-marble-white.png","Super LCD capacitive touchscreen, 16M colors","HTC Desire 620G Dual (8GB)","11.0","2","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","2100","8.0","1.7","5.0","170.04","120.5","1.0","2014.0","14.0","3.35714","5.0","5.0","19.0","525.0","8.0","160.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","150.1","72.7","9.6","1280.0","720.0","0","37.9599789252","104.461811204","47.140636852","26.4181755615","960.0"
"6068934","https://c.scdn.gr/images/sku_main_images/006068/6068934/medium_20160803112725_samsung_galaxy_note_4_duos_16gb.jpeg","Super AMOLED capacitive touchscreen, 16M colors","Samsung Galaxy Note 4 Duos (16GB)","5.0","2","0.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","3000","16.0","1.98","5.7","319.0","319.0","3.0","2014.0","29.0","4.68966","3.7","1.0","15.2","381.0","16.0","175.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","153.5","78.6","8.5","2560.0","1440.0","3","36.1213233423","109.841249082","46.8076262318","25.8476304523","1920.0"
